Training Network Parameters
Population Size: 100
Num Reproducers: 10

Generation 0
Creature 0: Score = 488, Features = [8, 5.333560841718584, [787, 49, 61, 35, 2]]
Creature 26: Score = 70, Features = [23, 9.195917620686775, [787, 88, 86, 18, 2]]
Creature 27: Score = 70, Features = [31, 8.746545861249587, [787, 24, 99, 47, 2]]
Creature 28: Score = 70, Features = [22, 6.709161439047532, [787, 5, 38, 76, 2]]
Creature 29: Score = 70, Features = [46, 2.057119905653831, [787, 6, 41, 27, 2]]
Creature 30: Score = 488, Features = [12, 2.678753306571686, [787, 98, 34, 57, 2]]
Creature 31: Score = 70, Features = [7, 9.726237682303262, [787, 84, 44, 55, 2]]
Creature 32: Score = 69, Features = [13, 5.33518554850391, [787, 69, 54, 55, 2]]
Creature 33: Score = 488, Features = [18, 8.706178216303345, [787, 75, 76, 37, 2]]
Creature 34: Score = 70, Features = [41, 9.458139608232557, [787, 63, 84, 97, 2]]
Creature 35: Score = 488, Features = [26, 5.213200121776654, [787, 54, 92, 72, 2]]
Creature 36: Score = 488, Features = [47, 4.786902030614169, [787, 56, 98, 48, 2]]
Creature 37: Score = 70, Features = [47, 9.388038969177261, [787, 20, 47, 42, 2]]
Creature 38: Score = 283, Features = [23, 1.038167928582523, [787, 28, 9, 6, 2]]
Creature 39: Score = 388, Features = [47, 5.454368207235434, [787, 39, 49, 2, 2]]
Creature 40: Score = 488, Features = [2, 4.107200374398207, [787, 19, 97, 73, 2]]
Creature 41: Score = 372, Features = [10, 2.9720550506440766, [787, 94, 47, 39, 2]]
Creature 42: Score = 70, Features = [15, 1.5688569994574397, [787, 70, 89, 88, 2]]
Creature 43: Score = 70, Features = [39, 9.544881596292235, [787, 48, 34, 23, 2]]
Creature 44: Score = 488, Features = [50, 2.804989179084225, [787, 69, 89, 79, 2]]
Creature 45: Score = 72, Features = [38, 2.9997683285548913, [787, 37, 6, 77, 2]]
Creature 46: Score = 491, Features = [45, 9.574899875817472, [787, 25, 36, 85, 2]]
Creature 47: Score = 83, Features = [4, 0.4737123185245151, [787, 5, 29, 73, 2]]
Creature 48: Score = 70, Features = [43, 6.116318426386266, [787, 49, 30, 68, 2]]
Creature 49: Score = 488, Features = [41, 6.425119374035169, [787, 98, 23, 93, 2]]
Creature 50: Score = 456, Features = [30, 2.602374047763062, [787, 32, 63, 32, 2]]
Creature 51: Score = 485, Features = [41, 0.36484964471837134, [787, 74, 65, 61, 2]]
Creature 52: Score = 70, Features = [22, 1.910044274601802, [787, 27, 26, 77, 2]]
Creature 53: Score = 70, Features = [1, 8.198590682072377, [787, 4, 44, 2, 2]]
Creature 54: Score = 489, Features = [43, 5.804332379540725, [787, 46, 28, 19, 2]]
Creature 55: Score = 132, Features = [6, 7.845146092794416, [787, 29, 96, 28, 2]]
Creature 56: Score = 70, Features = [45, 5.46063955036305, [787, 22, 65, 60, 2]]
Creature 57: Score = 465, Features = [13, 4.22234542391232, [787, 97, 43, 15, 2]]
Creature 58: Score = 70, Features = [24, 1.1227651315419929, [787, 27, 80, 38, 2]]
Creature 59: Score = 70, Features = [48, 3.6065700330816375, [787, 10, 52, 53, 2]]
Creature 60: Score = 362, Features = [41, 5.182066317697328, [787, 27, 2, 25, 2]]
Creature 61: Score = 69, Features = [11, 4.920197220112708, [787, 45, 95, 39, 2]]
Creature 62: Score = 443, Features = [41, 4.00239728983667, [787, 91, 64, 29, 2]]
Creature 63: Score = 115, Features = [45, 6.4868095750847115, [787, 69, 54, 9, 2]]
Creature 64: Score = 488, Features = [26, 7.671883950838739, [787, 60, 12, 28, 2]]
Creature 65: Score = 429, Features = [22, 1.4731698842757135, [787, 57, 94, 25, 2]]
Creature 66: Score = 70, Features = [49, 3.7133234841600737, [787, 47, 10, 73, 2]]
Creature 67: Score = 488, Features = [15, 4.676942558965643, [787, 3, 86, 39, 2]]
Creature 68: Score = 488, Features = [49, 2.4778398421203707, [787, 52, 49, 79, 2]]
Creature 69: Score = 488, Features = [28, 8.976678686554333, [787, 23, 44, 23, 2]]
Creature 70: Score = 488, Features = [49, 9.720002415344366, [787, 46, 94, 11, 2]]
Creature 71: Score = 488, Features = [19, 2.462945937650669, [787, 52, 35, 67, 2]]
Creature 72: Score = 143, Features = [44, 3.330163207978396, [787, 29, 9, 2, 2]]
Creature 73: Score = 83, Features = [33, 2.774988266146081, [787, 85, 7, 30, 2]]
Creature 74: Score = 329, Features = [46, 8.080550943643427, [787, 99, 87, 45, 2]]
Creature 75: Score = 70, Features = [21, 8.324437503457759, [787, 100, 77, 69, 2]]
Creature 76: Score = 70, Features = [50, 2.844000342419515, [787, 5, 73, 21, 2]]
Creature 77: Score = 156, Features = [23, 1.2407708275857765, [787, 83, 65, 45, 2]]
Creature 78: Score = 488, Features = [35, 6.866321487115382, [787, 50, 95, 42, 2]]
Creature 79: Score = 248, Features = [42, 0.4162602100106305, [787, 81, 41, 28, 2]]
Creature 80: Score = 416, Features = [8, 9.735416861026883, [787, 70, 80, 50, 2]]
Creature 81: Score = 330, Features = [43, 3.222154743566433, [787, 51, 42, 86, 2]]
Creature 82: Score = 67, Features = [17, 2.792626076952015, [787, 98, 21, 34, 2]]
Creature 83: Score = 70, Features = [5, 1.2548775699038617, [787, 2, 79, 62, 2]]
Creature 84: Score = 488, Features = [11, 3.7588337062994115, [787, 23, 91, 67, 2]]
Creature 85: Score = 488, Features = [50, 6.7390122252498665, [787, 38, 51, 85, 2]]
Creature 86: Score = 488, Features = [13, 5.940743323676433, [787, 70, 24, 83, 2]]
Creature 87: Score = 490, Features = [41, 3.2422266636732324, [787, 34, 75, 29, 2]]
Creature 88: Score = 476, Features = [18, 8.104483723543744, [787, 90, 69, 3, 2]]
Creature 89: Score = 431, Features = [46, 7.838377698299014, [787, 75, 39, 3, 2]]
Creature 90: Score = 488, Features = [31, 3.21655750875659, [787, 31, 94, 65, 2]]
Creature 91: Score = 70, Features = [43, 3.635728793209154, [787, 35, 66, 92, 2]]
Creature 92: Score = 71, Features = [11, 3.0742994864972673, [787, 20, 46, 95, 2]]
Creature 93: Score = 70, Features = [32, 5.458187160473955, [787, 29, 55, 25, 2]]
Creature 94: Score = 488, Features = [16, 5.756170418577896, [787, 17, 41, 12, 2]]
Creature 95: Score = 81, Features = [44, 0.2777442923425322, [787, 8, 79, 2, 2]]
Creature 96: Score = 220, Features = [9, 0.5479282322614154, [787, 40, 46, 9, 2]]
Creature 97: Score = 280, Features = [39, 7.906584373543279, [787, 53, 46, 67, 2]]
Creature 98: Score = 70, Features = [8, 2.805540412213249, [787, 60, 37, 79, 2]]
Creature 99: Score = 70, Features = [2, 9.765708427067837, [787, 5, 100, 91, 2]]
Best of Gen 9: Score = 491, Features = [3, 5.640596309585513, [787, 35, 5, 4, 2]]

Generation 1
Creature 0: Score = 200, Features = [3, 7.903247128776332, [787, 35, 5, 4, 2]]
Creature 1: Score = 71, Features = [3, 4.2345952557272675, [787, 35, 5, 4, 2]]
Creature 2: Score = 487, Features = [16, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 3: Score = 70, Features = [3, 5.640596309585513, [787, 19, 44, 20, 2]]
Creature 4: Score = 465, Features = [3, 5.640596309585513, [787, 82, 87, 12, 2]]
Creature 5: Score = 229, Features = [23, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 6: Score = 481, Features = [3, 5.115911060766295, [787, 35, 5, 4, 2]]
Creature 7: Score = 481, Features = [3, 7.452765299258442, [787, 35, 5, 4, 2]]
Creature 8: Score = 487, Features = [3, 5.640596309585513, [787, 55, 64, 14, 2]]
Creature 9: Score = 488, Features = [3, 5.640596309585513, [787, 7, 38, 98, 2]]
Creature 10: Score = 365, Features = [27, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 11: Score = 488, Features = [3, 5.640596309585513, [787, 50, 77, 71, 2]]
Creature 12: Score = 229, Features = [40, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 13: Score = 396, Features = [38, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 14: Score = 488, Features = [3, 5.640596309585513, [787, 26, 32, 87, 2]]
Creature 15: Score = 82, Features = [3, 7.49537099173563, [787, 35, 5, 4, 2]]
Creature 16: Score = 70, Features = [3, 5.640596309585513, [787, 92, 58, 75, 2]]
Creature 17: Score = 101, Features = [34, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 18: Score = 75, Features = [3, 5.640596309585513, [787, 20, 23, 30, 2]]
Creature 19: Score = 82, Features = [3, 3.8466411728273475, [787, 35, 5, 4, 2]]
Creature 20: Score = 284, Features = [43, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 21: Score = 70, Features = [3, 5.640596309585513, [787, 51, 19, 83, 2]]
Creature 22: Score = 70, Features = [3, 5.640596309585513, [787, 12, 16, 56, 2]]
Creature 23: Score = 488, Features = [3, 5.640596309585513, [787, 97, 86, 59, 2]]
Creature 24: Score = 239, Features = [38, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 25: Score = 480, Features = [3, 5.640596309585513, [787, 61, 36, 11, 2]]
Creature 26: Score = 103, Features = [3, 5.640596309585513, [787, 86, 44, 17, 2]]
Creature 27: Score = 78, Features = [3, 5.640596309585513, [787, 63, 12, 6, 2]]
Creature 28: Score = 221, Features = [29, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 29: Score = 252, Features = [3, 0.5844358193310151, [787, 35, 5, 4, 2]]
Creature 30: Score = 190, Features = [48, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 31: Score = 70, Features = [3, 5.640596309585513, [787, 16, 71, 26, 2]]
Creature 32: Score = 70, Features = [3, 5.640596309585513, [787, 71, 62, 48, 2]]
Creature 33: Score = 388, Features = [3, 9.857399164893865, [787, 35, 5, 4, 2]]
Creature 34: Score = 74, Features = [3, 4.304050115224555, [787, 35, 5, 4, 2]]
Creature 35: Score = 400, Features = [20, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 36: Score = 214, Features = [3, 0.3348378039122535, [787, 35, 5, 4, 2]]
Creature 37: Score = 73, Features = [3, 5.797875145457411, [787, 35, 5, 4, 2]]
Creature 38: Score = 71, Features = [3, 5.640596309585513, [787, 72, 100, 61, 2]]
Creature 39: Score = 81, Features = [3, 5.975650164598825, [787, 35, 5, 4, 2]]
Creature 40: Score = 479, Features = [3, 5.640596309585513, [787, 35, 87, 27, 2]]
Creature 41: Score = 183, Features = [35, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 42: Score = 488, Features = [3, 5.640596309585513, [787, 11, 2, 48, 2]]
Creature 43: Score = 486, Features = [3, 5.640596309585513, [787, 30, 9, 26, 2]]
Creature 44: Score = 115, Features = [24, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 45: Score = 283, Features = [3, 5.640596309585513, [787, 28, 72, 8, 2]]
Creature 46: Score = 488, Features = [3, 5.640596309585513, [787, 63, 36, 86, 2]]
Creature 47: Score = 206, Features = [35, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 48: Score = 486, Features = [3, 3.069852524100746, [787, 35, 5, 4, 2]]
Creature 49: Score = 481, Features = [23, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 50: Score = 163, Features = [21, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 51: Score = 488, Features = [3, 5.640596309585513, [787, 59, 87, 42, 2]]
Creature 52: Score = 440, Features = [3, 5.640596309585513, [787, 78, 94, 66, 2]]
Creature 53: Score = 400, Features = [3, 5.640596309585513, [787, 71, 58, 76, 2]]
Creature 54: Score = 488, Features = [3, 5.640596309585513, [787, 71, 21, 55, 2]]
Creature 55: Score = 70, Features = [10, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 56: Score = 463, Features = [3, 5.640596309585513, [787, 65, 32, 46, 2]]
Creature 57: Score = 397, Features = [3, 5.640596309585513, [787, 48, 49, 99, 2]]
Creature 58: Score = 82, Features = [3, 5.640596309585513, [787, 21, 92, 5, 2]]
Creature 59: Score = 108, Features = [27, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 60: Score = 488, Features = [3, 5.640596309585513, [787, 14, 19, 85, 2]]
Creature 61: Score = 487, Features = [3, 2.0820046106954604, [787, 35, 5, 4, 2]]
Creature 62: Score = 487, Features = [3, 7.9961346782078895, [787, 35, 5, 4, 2]]
Creature 63: Score = 488, Features = [3, 5.640596309585513, [787, 61, 92, 87, 2]]
Creature 64: Score = 71, Features = [3, 0.8844415958429763, [787, 35, 5, 4, 2]]
Creature 65: Score = 70, Features = [3, 5.640596309585513, [787, 89, 71, 67, 2]]
Creature 66: Score = 488, Features = [3, 5.640596309585513, [787, 34, 90, 97, 2]]
Creature 67: Score = 352, Features = [28, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 68: Score = 464, Features = [35, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 69: Score = 95, Features = [3, 0.40327685056044005, [787, 35, 5, 4, 2]]
Creature 70: Score = 477, Features = [3, 1.4260030687993441, [787, 35, 5, 4, 2]]
Creature 71: Score = 488, Features = [3, 5.640596309585513, [787, 94, 15, 85, 2]]
Creature 72: Score = 484, Features = [3, 4.752122032684408, [787, 35, 5, 4, 2]]
Creature 73: Score = 415, Features = [3, 0.5396983984262094, [787, 35, 5, 4, 2]]
Creature 74: Score = 70, Features = [3, 5.640596309585513, [787, 9, 94, 34, 2]]
Creature 75: Score = 70, Features = [3, 5.640596309585513, [787, 91, 65, 65, 2]]
Creature 76: Score = 483, Features = [3, 1.8005386428821923, [787, 35, 5, 4, 2]]
Creature 77: Score = 92, Features = [3, 4.3291654859494315, [787, 35, 5, 4, 2]]
Creature 78: Score = 352, Features = [17, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 79: Score = 485, Features = [3, 5.640596309585513, [787, 30, 34, 16, 2]]
Creature 80: Score = 488, Features = [3, 5.640596309585513, [787, 66, 13, 31, 2]]
Creature 81: Score = 481, Features = [3, 5.640596309585513, [787, 40, 97, 5, 2]]
Creature 82: Score = 487, Features = [3, 1.9256634749852963, [787, 35, 5, 4, 2]]
Creature 83: Score = 149, Features = [41, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 84: Score = 484, Features = [3, 5.640596309585513, [787, 15, 55, 18, 2]]
Creature 85: Score = 488, Features = [3, 5.640596309585513, [787, 39, 62, 72, 2]]
Creature 86: Score = 487, Features = [3, 5.640596309585513, [787, 61, 10, 11, 2]]
Creature 87: Score = 92, Features = [3, 6.901542447649808, [787, 35, 5, 4, 2]]
Creature 88: Score = 353, Features = [27, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 89: Score = 427, Features = [3, 5.640596309585513, [787, 67, 36, 5, 2]]
Creature 90: Score = 183, Features = [20, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 91: Score = 70, Features = [44, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 92: Score = 366, Features = [49, 5.640596309585513, [787, 35, 5, 4, 2]]
Creature 93: Score = 488, Features = [3, 5.640596309585513, [787, 55, 98, 13, 2]]
Creature 94: Score = 70, Features = [3, 5.640596309585513, [787, 83, 77, 37, 2]]
Creature 95: Score = 488, Features = [3, 5.640596309585513, [787, 69, 56, 84, 2]]
Creature 96: Score = 77, Features = [3, 4.90466412665917, [787, 35, 5, 4, 2]]
